Name,Model,Accessory Type,Release Date,Bought Date,Company,Product Condition,Has Packaging,Monetary Value,Notes,Console
Atari 2600 Joystick,CX40,Controller,1977-10-01,2020-01-15,Atari,Good,No,$12.50,Works great,Atari 2600
NES Controller,NES-004,Controller,1985-10-18,2019-06-01,Nintendo,Very Good,No,$15.00,,Nintendo Entertainment System
SNES Controller,,Controller,,2021-03-10,Nintendo,Good,Yes,$20.00,Box has wear,Super Nintendo Entertainment System
Genesis 6-Button Controller,MK-1470,Controller,1993-01-01,,Sega,Fair,No,,Missing one button cap,Sega Genesis
N64 Controller,NUS-005,Controller,1996-09-29,2018-11-20,Nintendo,Good,No,$18.75,,Nintendo 64
PS1 DualShock,SCPH-1200,Controller,1997-11-01,2020-07-04,Sony,Very Good,No,$22.00,Analog sticks tight,Sony Playstation
Game Boy Link Cable,DMG-04,Controller,,2017-05-05,Nintendo,Okay,No,$5.00,Slightly frayed,Nintendo Game Boy
Xbox 360 Controller,,Controller,2005-11-22,2022-02-14,Microsoft,New,Yes,$35.00,Sealed,Microsoft Xbox 360
Wii Remote,RVL-003,Controller,2006-11-19,2019-09-01,Nintendo,Good,No,$14.25,Strap included,Nintendo Wii
GameCube Controller,DOL-003,Controller,2001-09-14,2020-12-25,Nintendo,Poor,No,$8.00,Stick drift,Nintendo GameCube
